ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
690,0,133,26.899999618530273,9.600000381469727,6.880000114440918,12.289999961853027,-68.875,3.6249999999999982
691,0,283,24.899999618530273,13,31.239999771118164,10.579999923706055,-51.625,-7.375
692,0,316,23.700000762939453,12.800000190734863,21.639999389648438,11.020000457763672,-59.625,-10.958333333333336
693,0,710,23.399999618530273,10.5,46.16999816894531,10.15999984741211,-63.541666666666664,2.2916666666666643
694,0,117,26.799999237060547,10.199999809265137,3.049999952316284,13.4399995803833,-74.375,-4.875
695,0,958,20.100000381469727,12.800000190734863,31.25,10.670000076293945,-44.375,-20.375
696,0,899,22.600000381469727,10.399999618530273,118.83999633789062,8.34000015258789,-72.125,6.874999999999998
697,0,1016,23.299999237060547,9.899999618530273,133.39999389648438,8.199999809265137,-73.20833333333333,6.708333333333331
698,0,166,26.5,11.100000381469727,6.170000076293945,12.5,-65.54166666666666,8.708333333333332
699,0,74,26.899999618530273,10.199999809265137,11.40999984741211,11.90999984741211,-50.20833333333333,-3.291666666666668
700,0,519,24,11.899999618530273,13.5,11.579999923706055,-43.041666666666664,-15.541666666666668
701,0,329,24.200000762939453,10.600000381469727,7.809999942779541,12.680000305175781,-63.791666666666664,-17.458333333333336
702,0,897,23.100000381469727,10,119.66000366210938,8.170000076293945,-76.54166666666666,-6.125
703,0,113,25.5,11.199999809265137,7.909999847412109,11.960000038146973,-61.875,-9.041666666666668
704,0,815,21.200000762939453,10.600000381469727,12.789999961853027,11.470000267028809,-41.375,-15.208333333333336
705,0,210,26.100000381469727,9.800000190734863,5.5,12.779999732971191,-61.95833333333333,7.541666666666664
706,0,82,26.600000381469727,10.100000381469727,11.359999656677246,11.8100004196167,-47.625,-2.7083333333333357
707,0,214,26.100000381469727,10.199999809265137,71.61000061035156,9.289999961853027,-63.95833333333333,1.2083333333333321
708,0,825,21.799999237060547,12.899999618530273,15.859999656677246,11.359999656677246,-44.95833333333333,-18.375
709,0,552,23.600000381469727,13.399999618530273,21.399999618530273,11.149999618530273,-58.291666666666664,-14.875
710,0,1103,21.700000762939453,10.300000190734863,50.900001525878906,9.9399995803833,-47.625,-15.041666666666668
711,0,143,23.600000381469727,7.199999809265137,17.459999084472656,11.520000457763672,-35.45833333333333,-8.625
712,0,152,25.799999237060547,10,2.450000047683716,13.329999923706055,-75.29166666666666,-3.791666666666668
713,0,132,25.899999618530273,8.800000190734863,6.539999961853027,12.510000228881836,-70.375,-0.5416666666666679
714,0,1223,15.899999618530273,11.800000190734863,100.56999969482422,8.649999618530273,-44.541666666666664,-22.875
715,0,961,20.899999618530273,12.100000381469727,27.3700008392334,10.4399995803833,-46.45833333333333,-19.375
716,0,162,26.299999237060547,12,2.1700000762939453,13.079999923706055,-65.70833333333333,-13.041666666666668
717,0,55,26.899999618530273,9.899999618530273,3.1600000858306885,13.220000267028809,-63.541666666666664,0.2916666666666643
718,0,207,26.700000762939453,9.699999809265137,15.770000457763672,11.609999656677246,-57.041666666666664,0.20833333333333215
719,0,300,25,9.300000190734863,8.5600004196167,12.670000076293945,-76.29166666666666,0.7916666666666643
