species	longitude	latitude
Bradypus variegatus	-84.143411	9.386256
Bradypus variegatus	-84.10685	10.368847
Bradypus variegatus	-84.06475	10.448767
Bradypus variegatus	-84.761414	10.894605
Bradypus variegatus	-84.651901	10.471095
Bradypus variegatus	-83.896437	10.212433
Bradypus variegatus	-84.839895	10.500657
Bradypus variegatus	-84.651413	10.472114
Bradypus variegatus	-84.653717	10.470196
Bradypus variegatus	-69.175056	-12.593091
Bradypus variegatus	-79.72538	9.130728
Bradypus variegatus	-83.689505	8.693463
Bradypus variegatus	-43.3055	-22.986724
Bradypus variegatus	-84.592636	9.831946
Bradypus variegatus	-79.589671	8.898131
Bradypus variegatus	-79.589735	8.897892
Bradypus variegatus	-72.917518	-3.257878
Bradypus variegatus	-83.808243	9.210239
Bradypus variegatus	-82.819191	9.741409
Bradypus variegatus	-84.004503	10.432573
Bradypus variegatus	-76.436883	-0.509705
Bradypus variegatus	-75.426078	10.354152
Bradypus variegatus	-84.611588	10.38238
Bradypus variegatus	-80.070854	8.643978
Bradypus variegatus	-82.313362	9.150797
Bradypus variegatus	-85.058415	10.731291
Bradypus variegatus	-79.722795	9.13872
Bradypus variegatus	-75.5466	10.422187
Bradypus variegatus	-75.547033	10.422262
Bradypus variegatus	-73.405397	-4.390895
Bradypus variegatus	-84.651387	10.470602
Bradypus variegatus	-85.014941	10.645228
Bradypus variegatus	-83.290344	8.38744
Bradypus variegatus	-77.733431	8.10656
Bradypus variegatus	-77.727937	8.117096
Bradypus variegatus	-66.834637	10.466788
Bradypus variegatus	-79.545027	8.988483
Bradypus variegatus	-79.715273	9.124092
Bradypus variegatus	-79.647718	9.063609
Bradypus variegatus	-84.597362	10.387853
Bradypus variegatus	-80.110902	8.615667
Bradypus variegatus	-84.144951	9.391601
Bradypus variegatus	-79.715273	9.124092
Bradypus variegatus	-83.100961	9.992805
Bradypus variegatus	-63.189628	-17.789505
Bradypus variegatus	-82.730422	9.645955
Bradypus variegatus	-39.169761	-16.3876
Bradypus variegatus	-79.546808	8.984717
Bradypus variegatus	-75.481328	8.631476
Bradypus variegatus	-84.142971	9.382043
Bradypus variegatus	-83.953178	10.334077
Bradypus variegatus	-84.686859	10.491431
Bradypus variegatus	-84.144237	9.388558
Bradypus variegatus	-82.773331	9.658055
Bradypus variegatus	-82.738388	9.651211
Bradypus variegatus	-82.739492	9.650383
Bradypus variegatus	-84.146889	9.388345
Bradypus variegatus	-84.004166	10.434835
Bradypus variegatus	-84.143744	9.386556
Bradypus variegatus	-73.449998	-4.501145
Bradypus variegatus	-82.739168	9.650127
Bradypus variegatus	-84.155385	9.409262
Bradypus variegatus	-84.144653	9.390117
Bradypus variegatus	-79.546294	8.993594
Bradypus variegatus	-82.864498	9.748437
Bradypus variegatus	-83.50294	10.541503
Bradypus variegatus	-83.859243	9.252496
Bradypus variegatus	-83.689505	8.693463
Bradypus variegatus	-77.732991	8.107183
Bradypus variegatus	-84.143678	9.3867
Bradypus variegatus	-46.479238	-23.583615000000002
Bradypus variegatus	-74.592238	-8.34364
Bradypus variegatus	-83.026894	10.035266
Bradypus variegatus	-86.055908	13.241951
Bradypus variegatus	-84.470933	10.517313
Bradypus variegatus	-66.85193	10.417712999999999
Bradypus variegatus	-83.033028	9.792723
Bradypus variegatus	-83.591248	8.466338
Bradypus variegatus	-85.056996	10.728053
Bradypus variegatus	-85.056933	10.727978
Bradypus variegatus	-85.057258	10.725921
Bradypus variegatus	-85.057058	10.72859
Bradypus variegatus	-85.056988	10.72803
Bradypus variegatus	-85.056896	10.728335
Bradypus variegatus	-73.910144	11.288955
Bradypus variegatus	-85.056885	10.727956
Bradypus variegatus	-85.057268	10.725838
Bradypus variegatus	-83.285253	8.40016
Bradypus variegatus	-80.110333	8.616177
Bradypus variegatus	-85.05704	10.728705
Bradypus variegatus	-85.057075	10.728595
Bradypus variegatus	-85.056917	10.727993
Bradypus variegatus	-85.05678	10.727623
Bradypus variegatus	-85.057058	10.72856
Bradypus variegatus	-85.05727	10.725887
Bradypus variegatus	-85.056983	10.728347
Bradypus variegatus	-85.057057	10.728553
Bradypus variegatus	-85.057182	10.725972
Bradypus variegatus	-85.05696	10.728082
Bradypus variegatus	-85.057102	10.72853
Bradypus variegatus	-83.753428	9.748917
Bradypus variegatus	-83.753428	9.748917
Bradypus variegatus	-85.056867	10.7286
Bradypus variegatus	-79.841357	9.16258
Bradypus variegatus	-82.814842	9.749387
Bradypus variegatus	-82.145419	9.25527
Bradypus variegatus	-83.284298	8.406305
Bradypus variegatus	-83.285913	8.400088
Bradypus variegatus	-66.969899	10.395223
Bradypus variegatus	-75.325143	10.489651
Bradypus variegatus	-46.979934	-24.288343
Bradypus variegatus	-63.220944	-17.789715
Bradypus variegatus	-83.308849	8.69203
Bradypus variegatus	-79.546635	8.985115
Bradypus variegatus	-77.010222	-0.394998
Bradypus variegatus	-76.436783	-0.509753
Bradypus variegatus	-79.547699	8.959597
Bradypus variegatus	-83.187811	9.921391
Bradypus variegatus	-84.661101	10.478418
Bradypus variegatus	-83.588134	8.472004
Bradypus variegatus	-60.687345	-3.244328
Bradypus variegatus	-79.593291	8.89987
Bradypus variegatus	-83.504845	9.003522
Bradypus variegatus	-63.224498	-17.757905
Bradypus variegatus	-82.25741	9.352901
Bradypus variegatus	-82.274624	9.256269
Bradypus variegatus	-82.864062	9.429254
Bradypus variegatus	-66.092075	-11.016819
Bradypus variegatus	-80.111928	8.603967
Bradypus variegatus	-82.801638	9.327177
Bradypus variegatus	-82.801638	9.327177
Bradypus variegatus	-77.871638	8.153447
Bradypus variegatus	-78.212862	8.763631
Bradypus variegatus	-63.183066	-17.759238
Bradypus variegatus	-77.516615	7.620419
Bradypus variegatus	-66.097043	-11.016731
Bradypus variegatus	-63.319666	-17.978131
Bradypus variegatus	-79.402864	9.23215
Bradypus variegatus	-79.647814	8.95044
Bradypus variegatus	-47.782908	-5.172984
Bradypus variegatus	-83.798767	9.864946
Bradypus variegatus	-66.822504	10.459949
Bradypus variegatus	-66.82356	10.425794
Bradypus variegatus	-73.84056	7.771867
Bradypus variegatus	-34.867424	-7.919148
Bradypus variegatus	-35.00421	-7.967126
Bradypus variegatus	-82.148964	9.252302
Bradypus variegatus	-82.146148	9.254111
Bradypus variegatus	-82.146148	9.254111
Bradypus variegatus	-77.309	-0.690885
Bradypus variegatus	-76.149058	9.024172
Bradypus variegatus	-50.060353	-6.061336
Bradypus variegatus	-79.58786	8.899462
Bradypus variegatus	-79.588258	8.904702
Bradypus variegatus	-79.592491	8.899819
Bradypus variegatus	-77.000823	-0.498665
Bradypus variegatus	-76.870886	-0.287885
Bradypus variegatus	-82.313562	9.406833
Bradypus variegatus	-66.974297000000007	10.368856
Bradypus variegatus	-82.24255	8.733671
Bradypus variegatus	-79.589681	8.898209
Bradypus variegatus	-83.693159	9.972999
Bradypus variegatus	-54.655595	-2.462965
Bradypus variegatus	-54.647902	-2.463695
Bradypus variegatus	-66.038074	-11.027005
Bradypus variegatus	-54.643968	-2.467588
Bradypus variegatus	-75.033276	9.120725
Bradypus variegatus	-54.6555	-2.462932
Bradypus variegatus	-46.617897	-23.648717
Bradypus variegatus	-79.725459	-3.461541
Bradypus variegatus	-76.99674	-0.402715
Bradypus variegatus	-46.625771	-23.640261
Bradypus variegatus	-66.875337	10.414432
Bradypus variegatus	-79.748244	-0.301144
Bradypus variegatus	-84.924456	10.713878
Bradypus variegatus	-54.600853	-2.51644
Bradypus variegatus	-46.618664	-23.647084
Bradypus variegatus	-54.605109	-2.511142
Bradypus variegatus	-83.191206	9.924818
Bradypus variegatus	-43.404072	-21.80648
Bradypus variegatus	-83.65693	9.894245
Bradypus variegatus	-79.58998	8.898183
Bradypus variegatus	-51.976227	-6.641455
Bradypus variegatus	-43.449431	-23.018328
Bradypus variegatus	-79.188	0.60981
Bradypus variegatus	-54.654367	-2.462168
Bradypus variegatus	-46.61824	-23.648028
Bradypus variegatus	-54.654357	-2.462185
Bradypus variegatus	-79.413924	9.26179
Bradypus variegatus	-54.599522	-2.517285
Bradypus variegatus	-80.686051	-1.024195
Bradypus variegatus	-60.266944	-3.224205
Bradypus variegatus	-81.216364	8.70676
Bradypus variegatus	-35.9116	-9.609222
Bradypus variegatus	-35.909568	-9.608357
Bradypus variegatus	-49.913112	-5.912677
Bradypus variegatus	-44.606268	-22.455686
Bradypus variegatus	-79.582878	9.004272
Bradypus variegatus	-77.385555	0.010252
Bradypus variegatus	-79.731926	-2.311391
Bradypus variegatus	-77.818417	-0.999456
Bradypus variegatus	-84.15422	9.399215
Bradypus variegatus	-46.617625	-23.648308
Bradypus variegatus	-66.844837	10.431555
Bradypus variegatus	-79.168187	0.108101
Bradypus variegatus	-79.839052	-3.394399
Bradypus variegatus	-80.131693	8.609784
Bradypus variegatus	-76.383508	-0.124434
Bradypus variegatus	-46.618396	-23.647801
Bradypus variegatus	-66.811742	10.507327
Bradypus variegatus	-54.603735	-2.50535
Bradypus variegatus	-79.722461	9.135018
Bradypus variegatus	-54.657673	-2.460162
Bradypus variegatus	-54.654847	-2.462327
Bradypus variegatus	-54.654827	-2.462325
